0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:21:58 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:00 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:18 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:18 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:20 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:20 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:25 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:25 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:37 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:37 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:54 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:54 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:22:55 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:23:24 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:23:24 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:23:25 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:23:25 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:26:11 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:26:11 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:26:11 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:26:28 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:26:28 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:08 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:08 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:11 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:43 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:43 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:50 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:50 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:53 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
